id,app_name,dataset,algorithm,threads,selectivity,data_skew,seal_chunk_size,r_tuples,s_tuples,r_path,s_path,r_size,s_size,seal,sort_r,sort_s
128,SGX,"Cache Exceed",Crkj,2,0,0.7,0,2097152,2097152,,,,,0,0,0
129,SGX,"Cache Exceed",Crkj,2,0,0.8,0,2097152,2097152,,,,,0,0,0
130,SGX,"Cache Exceed",Crkj,2,0,0.9,0,2097152,2097152,,,,,0,0,0
131,SGX,"Cache Exceed",Crkj,2,0,1.0,0,2097152,2097152,,,,,0,0,0
132,SGX,"Cache Exceed",Crkj,2,10,0.0,0,2097152,2097152,,,,,0,0,0
133,SGX,"Cache Exceed",Crkj,2,10,0.1,0,2097152,2097152,,,,,0,0,0
134,SGX,"Cache Exceed",Crkj,2,10,0.2,0,2097152,2097152,,,,,0,0,0
135,SGX,"Cache Exceed",Crkj,2,10,0.3,0,2097152,2097152,,,,,0,0,0
136,SGX,"Cache Exceed",Crkj,2,10,0.4,0,2097152,2097152,,,,,0,0,0
137,SGX,"Cache Exceed",Crkj,2,10,0.5,0,2097152,2097152,,,,,0,0,0
138,SGX,"Cache Exceed",Crkj,2,10,0.6,0,2097152,2097152,,,,,0,0,0
139,SGX,"Cache Exceed",Crkj,2,10,0.7,0,2097152,2097152,,,,,0,0,0
140,SGX,"Cache Exceed",Crkj,2,10,0.8,0,2097152,2097152,,,,,0,0,0
141,SGX,"Cache Exceed",Crkj,2,10,0.9,0,2097152,2097152,,,,,0,0,0
142,SGX,"Cache Exceed",Crkj,2,10,1.0,0,2097152,2097152,,,,,0,0,0
143,SGX,"Cache Exceed",Crkj,2,20,0.0,0,2097152,2097152,,,,,0,0,0
144,SGX,"Cache Exceed",Crkj,2,20,0.1,0,2097152,2097152,,,,,0,0,0
145,SGX,"Cache Exceed",Crkj,2,20,0.2,0,2097152,2097152,,,,,0,0,0
146,SGX,"Cache Exceed",Crkj,2,20,0.3,0,2097152,2097152,,,,,0,0,0
147,SGX,"Cache Exceed",Crkj,2,20,0.4,0,2097152,2097152,,,,,0,0,0
148,SGX,"Cache Exceed",Crkj,2,20,0.5,0,2097152,2097152,,,,,0,0,0
149,SGX,"Cache Exceed",Crkj,2,20,0.6,0,2097152,2097152,,,,,0,0,0
150,SGX,"Cache Exceed",Crkj,2,20,0.7,0,2097152,2097152,,,,,0,0,0
151,SGX,"Cache Exceed",Crkj,2,20,0.8,0,2097152,2097152,,,,,0,0,0
152,SGX,"Cache Exceed",Crkj,2,20,0.9,0,2097152,2097152,,,,,0,0,0
153,SGX,"Cache Exceed",Crkj,2,20,1.0,0,2097152,2097152,,,,,0,0,0
154,SGX,"Cache Exceed",Crkj,2,30,0.0,0,2097152,2097152,,,,,0,0,0
155,SGX,"Cache Exceed",Crkj,2,30,0.1,0,2097152,2097152,,,,,0,0,0
156,SGX,"Cache Exceed",Crkj,2,30,0.2,0,2097152,2097152,,,,,0,0,0
157,SGX,"Cache Exceed",Crkj,2,30,0.3,0,2097152,2097152,,,,,0,0,0
158,SGX,"Cache Exceed",Crkj,2,30,0.4,0,2097152,2097152,,,,,0,0,0
159,SGX,"Cache Exceed",Crkj,2,30,0.5,0,2097152,2097152,,,,,0,0,0
160,SGX,"Cache Exceed",Crkj,2,30,0.6,0,2097152,2097152,,,,,0,0,0
161,SGX,"Cache Exceed",Crkj,2,30,0.7,0,2097152,2097152,,,,,0,0,0
162,SGX,"Cache Exceed",Crkj,2,30,0.8,0,2097152,2097152,,,,,0,0,0
163,SGX,"Cache Exceed",Crkj,2,30,0.9,0,2097152,2097152,,,,,0,0,0
164,SGX,"Cache Exceed",Crkj,2,30,1.0,0,2097152,2097152,,,,,0,0,0
165,SGX,"Cache Exceed",Crkj,2,40,0.0,0,2097152,2097152,,,,,0,0,0
166,SGX,"Cache Exceed",Crkj,2,40,0.1,0,2097152,2097152,,,,,0,0,0
167,SGX,"Cache Exceed",Crkj,2,40,0.2,0,2097152,2097152,,,,,0,0,0
168,SGX,"Cache Exceed",Crkj,2,40,0.3,0,2097152,2097152,,,,,0,0,0
169,SGX,"Cache Exceed",Crkj,2,40,0.4,0,2097152,2097152,,,,,0,0,0
170,SGX,"Cache Exceed",Crkj,2,40,0.5,0,2097152,2097152,,,,,0,0,0
171,SGX,"Cache Exceed",Crkj,2,40,0.6,0,2097152,2097152,,,,,0,0,0
172,SGX,"Cache Exceed",Crkj,2,40,0.7,0,2097152,2097152,,,,,0,0,0
173,SGX,"Cache Exceed",Crkj,2,40,0.8,0,2097152,2097152,,,,,0,0,0
174,SGX,"Cache Exceed",Crkj,2,40,0.9,0,2097152,2097152,,,,,0,0,0
175,SGX,"Cache Exceed",Crkj,2,40,1.0,0,2097152,2097152,,,,,0,0,0
176,SGX,"Cache Exceed",Crkj,2,50,0.0,0,2097152,2097152,,,,,0,0,0
177,SGX,"Cache Exceed",Crkj,2,50,0.1,0,2097152,2097152,,,,,0,0,0
178,SGX,"Cache Exceed",Crkj,2,50,0.2,0,2097152,2097152,,,,,0,0,0
179,SGX,"Cache Exceed",Crkj,2,50,0.3,0,2097152,2097152,,,,,0,0,0
180,SGX,"Cache Exceed",Crkj,2,50,0.4,0,2097152,2097152,,,,,0,0,0
181,SGX,"Cache Exceed",Crkj,2,50,0.5,0,2097152,2097152,,,,,0,0,0
182,SGX,"Cache Exceed",Crkj,2,50,0.6,0,2097152,2097152,,,,,0,0,0
183,SGX,"Cache Exceed",Crkj,2,50,0.7,0,2097152,2097152,,,,,0,0,0
184,SGX,"Cache Exceed",Crkj,2,50,0.8,0,2097152,2097152,,,,,0,0,0
185,SGX,"Cache Exceed",Crkj,2,50,0.9,0,2097152,2097152,,,,,0,0,0
186,SGX,"Cache Exceed",Crkj,2,50,1.0,0,2097152,2097152,,,,,0,0,0
187,SGX,"Cache Exceed",Crkj,2,60,0.0,0,2097152,2097152,,,,,0,0,0
188,SGX,"Cache Exceed",Crkj,2,60,0.1,0,2097152,2097152,,,,,0,0,0
189,SGX,"Cache Exceed",Crkj,2,60,0.2,0,2097152,2097152,,,,,0,0,0
190,SGX,"Cache Exceed",Crkj,2,60,0.3,0,2097152,2097152,,,,,0,0,0
191,SGX,"Cache Exceed",Crkj,2,60,0.4,0,2097152,2097152,,,,,0,0,0
192,SGX,"Cache Exceed",Crkj,2,60,0.5,0,2097152,2097152,,,,,0,0,0
193,SGX,"Cache Exceed",Crkj,2,60,0.6,0,2097152,2097152,,,,,0,0,0
194,SGX,"Cache Exceed",Crkj,2,60,0.7,0,2097152,2097152,,,,,0,0,0
195,SGX,"Cache Exceed",Crkj,2,60,0.8,0,2097152,2097152,,,,,0,0,0
196,SGX,"Cache Exceed",Crkj,2,60,0.9,0,2097152,2097152,,,,,0,0,0
197,SGX,"Cache Exceed",Crkj,2,60,1.0,0,2097152,2097152,,,,,0,0,0
198,SGX,"Cache Exceed",Crkj,2,70,0.0,0,2097152,2097152,,,,,0,0,0
199,SGX,"Cache Exceed",Crkj,2,70,0.1,0,2097152,2097152,,,,,0,0,0
200,SGX,"Cache Exceed",Crkj,2,70,0.2,0,2097152,2097152,,,,,0,0,0
201,SGX,"Cache Exceed",Crkj,2,70,0.3,0,2097152,2097152,,,,,0,0,0
202,SGX,"Cache Exceed",Crkj,2,70,0.4,0,2097152,2097152,,,,,0,0,0
203,SGX,"Cache Exceed",Crkj,2,70,0.5,0,2097152,2097152,,,,,0,0,0
204,SGX,"Cache Exceed",Crkj,2,70,0.6,0,2097152,2097152,,,,,0,0,0
205,SGX,"Cache Exceed",Crkj,2,70,0.7,0,2097152,2097152,,,,,0,0,0
206,SGX,"Cache Exceed",Crkj,2,70,0.8,0,2097152,2097152,,,,,0,0,0
207,SGX,"Cache Exceed",Crkj,2,70,0.9,0,2097152,2097152,,,,,0,0,0
208,SGX,"Cache Exceed",Crkj,2,70,1.0,0,2097152,2097152,,,,,0,0,0
209,SGX,"Cache Exceed",Crkj,2,80,0.0,0,2097152,2097152,,,,,0,0,0
210,SGX,"Cache Exceed",Crkj,2,80,0.1,0,2097152,2097152,,,,,0,0,0
211,SGX,"Cache Exceed",Crkj,2,80,0.2,0,2097152,2097152,,,,,0,0,0
212,SGX,"Cache Exceed",Crkj,2,80,0.3,0,2097152,2097152,,,,,0,0,0
213,SGX,"Cache Exceed",Crkj,2,80,0.4,0,2097152,2097152,,,,,0,0,0
214,SGX,"Cache Exceed",Crkj,2,80,0.5,0,2097152,2097152,,,,,0,0,0
215,SGX,"Cache Exceed",Crkj,2,80,0.6,0,2097152,2097152,,,,,0,0,0
216,SGX,"Cache Exceed",Crkj,2,80,0.7,0,2097152,2097152,,,,,0,0,0
217,SGX,"Cache Exceed",Crkj,2,80,0.8,0,2097152,2097152,,,,,0,0,0
218,SGX,"Cache Exceed",Crkj,2,80,0.9,0,2097152,2097152,,,,,0,0,0
219,SGX,"Cache Exceed",Crkj,2,80,1.0,0,2097152,2097152,,,,,0,0,0
220,SGX,"Cache Exceed",Crkj,2,90,0.0,0,2097152,2097152,,,,,0,0,0
221,SGX,"Cache Exceed",Crkj,2,90,0.1,0,2097152,2097152,,,,,0,0,0
222,SGX,"Cache Exceed",Crkj,2,90,0.2,0,2097152,2097152,,,,,0,0,0
223,SGX,"Cache Exceed",Crkj,2,90,0.3,0,2097152,2097152,,,,,0,0,0
224,SGX,"Cache Exceed",Crkj,2,90,0.4,0,2097152,2097152,,,,,0,0,0
225,SGX,"Cache Exceed",Crkj,2,90,0.5,0,2097152,2097152,,,,,0,0,0
226,SGX,"Cache Exceed",Crkj,2,90,0.6,0,2097152,2097152,,,,,0,0,0
227,SGX,"Cache Exceed",Crkj,2,90,0.7,0,2097152,2097152,,,,,0,0,0
228,SGX,"Cache Exceed",Crkj,2,90,0.8,0,2097152,2097152,,,,,0,0,0
