teebenchargs_id,algorithm,threads,relR,relS,matches,phase1Cycles,phase2Cycles,cyclesPerTuple,phase1Time,phase2Time,totalTime,throughput,phase1L3CacheMisses,phase1L3HitRatio,phase1L2CacheMisses,phase1L2HitRatio,phase1IPC,phase1IR,phase1EWB,phase1VoluntaryCS,phase1InvoluntaryCS,phase1UserCpuTime,phase1SystemCpuTime,phase2L3CacheMisses,phase2L3HitRatio,phase2L2CacheMisses,phase2L2HitRatio,phase2IPC,phase2IR,phase2EWB,phase2VoluntaryCS,phase2InvoluntaryCS,phase2UserCpuTime,phase2SystemCpuTime,totalL3CacheMisses,totalL3HitRatio,totalL2CacheMisses,totalL2HitRatio,totalIPC,totalIR,totalEWB,totalVoluntaryCS,totalInvoluntaryCS,totalUserCpuTime,totalSystemCpuTime
3821,HashJoinVersion4,6,1310720,5242880,5242880,752358984,313917342,162,0,0,312903,20.9445,45454,0.95,2548768,0.61,0.13,625051398,13440,16299,20,300123,669883,993,1.00,1394117,0.68,0.25,212520108,0,16325,16,112446,61877,48376,0.96,3960604,0.63,0.15,840979190,14496,32624,84,412763,733304
3822,HashJoinVersion4,7,1310720,5242880,5242880,3429074040,3331453414,1031,0,0,1983759,3.3036,73222,0.98,4858169,0.42,0.12,749035562,13472,16292,17,903731,1282210,8080,1.00,3515300,0.38,0.18,249635254,0,16465,17,877699,461879,83375,0.99,8393821,0.41,0.13,1002210394,14528,32757,82,1782657,1747204
3823,HashJoinVersion4,8,1310720,5242880,5242880,903133342,3734409856,707,0,0,1360814,4.8159,48667,0.97,2863008,0.59,0.12,744489724,13488,14781,25,253123,1056692,9149,1.00,3802922,0.37,0.17,257896581,0,16397,18,865410,587922,59903,0.99,6686349,0.49,0.13,1005981600,14544,31178,91,1119210,1646823
3824,HashJoinVersion4,9,1310720,5242880,5242880,3727915598,3870137764,1159,0,0,2229536,2.9394,62555,0.99,5100325,0.41,0.11,877744680,13456,16124,29,953949,1625300,9530,1.00,3848799,0.36,0.17,264191388,48,16433,17,817823,695132,74112,0.99,8969487,0.39,0.12,1145441719,14560,32557,94,1772967,2323404
3825,HashJoinVersion4,10,1310720,5242880,5242880,3757206584,3805575536,1153,0,0,2219170,2.9532,52034,0.99,5245524,0.40,0.11,948424792,13520,16471,30,950939,1807036,13807,1.00,3955586,0.35,0.17,269339567,0,16476,16,906120,600196,67860,0.99,9221419,0.38,0.12,1221240012,14576,32947,94,1858098,2410396
3826,HashJoinVersion4,11,1310720,5242880,5242880,3880822828,3347065704,1102,0,0,2120903,3.0900,51767,0.99,5535123,0.40,0.11,1034238080,13504,16267,20,940662,2016781,23100,0.99,3727662,0.40,0.18,278851189,0,16490,17,828240,532310,76864,0.99,9283868,0.40,0.12,1316669183,14608,32757,85,1769842,2552037
3827,HashJoinVersion4,12,1310720,5242880,5242880,3828725828,3482205286,1115,0,0,2145262,3.0549,64675,0.99,5599383,0.40,0.11,1109053022,13520,16196,24,941426,2177086,8311,1.00,3790999,0.38,0.17,259082868,48,16451,17,883640,514365,75074,0.99,9414464,0.39,0.12,1371874673,14624,32647,89,1826108,2694567
3828,HashJoinVersion4,13,1310720,5242880,5242880,3883332808,3622428618,1145,0,0,2202436,2.9756,54498,0.99,5773548,0.39,0.11,1176435415,13488,16366,35,1005749,2295122,12163,1.00,3975636,0.36,0.17,263459468,0,16430,17,872475,586648,68654,0.99,9770927,0.38,0.12,1443479301,14592,32796,100,1878867,2885397
3829,HashJoinVersion4,14,1310720,5242880,5242880,3997622214,3344610388,1120,0,0,2154463,3.0419,55043,0.99,5907509,0.39,0.11,1250442934,13520,16572,35,1021288,2469516,7359,1.00,3896912,0.37,0.17,267742321,0,16522,17,837530,540134,64320,0.99,9829501,0.38,0.11,1521998838,14624,33094,100,1859398,3013278
3830,HashJoinVersion4,15,1310720,5242880,5242880,3810790888,3850214400,1168,0,0,2247986,2.9153,57622,0.99,5620367,0.40,0.10,1293230425,13504,15830,67,872308,2698553,23458,0.99,4190979,0.36,0.17,289465370,0,16497,17,973404,562481,82924,0.99,9835179,0.38,0.11,1586384384,14608,32327,132,1846727,3264356
